"Name","Fpts","Position","Team","Team Total","Postponement","Salary","Pts/$","Value","Slate"
"Yoan Moncada","7.02","3B","CWS","5.0","0","3,100","2.3","0.8","Other"
"Ramon Laureano","7.00","OF","OAK","3.3","0","3,900","1.8","-0.8","Early"
"Jesus Sanchez","6.94","OF","MIA","3.9","0","3,500","2.0","-0.1","Early"
"Isiah Kiner-Falefa","6.93","SS","NYY","5.5","0","3,000","2.3","0.9","Main"
"Cooper Hummel","6.89","OF","ARI","4.9","0","2,700","2.6","1.5","Early"
"Eddie Rosario","6.89","OF","ATL","5.9","0","3,400","2.0","0.1","Early"
"J.D. Davis","6.89","3B/OF","NYM","4.7","0","2,300","3.0","2.3","Early"
"Elehuris Montero","6.88","1B/3B","COL","4.6","0","2,000","3.4","2.9","Early"
"Alejandro Kirk","6.86","C","TOR","4.2","0","4,800","1.4","-2.7","Main"
"Eduardo Escobar","6.85","3B","NYM","4.7","0","4,400","1.6","-2.0","Early"
"Anthony Santander","6.80","OF","BAL","4.2","0","4,200","1.6","-1.6","Early"
"Jeimer Candelario","6.80","3B","DET","4.1","0","2,200","3.1","2.4","Other"
"Jesus Aguilar","6.80","1B","MIA","3.9","0","2,700","2.5","1.4","Early"
"Matt Carpenter","6.80","3B/OF","NYY","5.5","0","3,800","1.8","-0.8","Main"
"Didi Gregorius","6.77","SS","PHI","4.6","0","3,900","1.7","-1.0","Other"
"Nathaniel Lowe","6.77","1B","TEX","4.5","0","3,800","1.8","-0.8","Early"
"Christian Vazquez","6.76","C","BOS","4.2","0","4,300","1.6","-1.8","Main"
"Hunter Dozier","6.75","1B","KC","4.2","0","3,300","2.0","0.2","Early"
"Alek Thomas","6.74","OF","ARI","4.9","0","3,000","2.2","0.7","Early"
"Christopher Morel","6.74","2B/OF","CHC","3.5","0","3,900","1.7","-1.1","Main"
"Orlando Arcia","6.73","2B","ATL","5.9","0","3,400","2.0","-0.1","Early"
"Mark Canha","6.73","OF","NYM","4.7","0","3,800","1.8","-0.9","Early"
"Elias Diaz","6.72","C","COL","4.6","0","3,700","1.8","-0.7","Early"
"Luke Voit","6.71","1B","SD","3.5","0","3,300","2.0","0.1","Main"
"Cody Bellinger","6.70","OF","LAD","5.0","0","4,000","1.7","-1.3","Main"
"Jose Miranda","6.69","1B/3B","MIN","4.3","0","2,500","2.7","1.7","Early"
"Joc Pederson","6.67","OF","SF","3.7","0","4,400","1.5","-2.1","Main"
"Gavin Lux","6.66","2B/OF","LAD","5.0","0","3,700","1.8","-0.7","Main"
"Michael Harris II","6.65","OF","ATL","5.9","0","3,300","2.0","0.0","Early"
"Jack Suwinski","6.60","OF","PIT","3.2","0","3,300","2.0","0.0","Early"
"Taylor Walls","6.60","2B/SS","TB","5.7","0","2,300","2.9","2.0","Early"
"Lourdes Gurriel Jr.","6.60","OF","TOR","4.2","0","3,600","1.8","-0.6","Main"
"Kyle Farmer","6.59","SS","CIN","4.6","0","3,500","1.9","-0.4","Early"
"Patrick Wisdom","6.55","3B","CHC","3.5","0","4,500","1.5","-2.4","Main"
"Jonathan Schoop","6.55","2B","DET","4.1","0","2,800","2.3","1.0","Other"
"Rob Refsnyder","6.54","OF","BOS","4.2","0","3,400","1.9","-0.3","Main"
"Jace Peterson","6.54","3B/OF","MIL","4.7","0","3,200","2.0","0.1","Early"
"LaMonte Wade Jr.","6.54","OF","SF","3.7","0","2,600","2.5","1.3","Main"
"Willson Contreras","6.46","C","CHC","3.5","0","5,800","1.1","-5.1","Main"
"Edward Olivares","6.45","OF","KC","4.2","0","3,300","2.0","-0.2","Early"
"Cesar Hernandez","6.45","2B","WAS","4.2","0","3,800","1.7","-1.1","Early"
"Willi Castro","6.44","OF","DET","4.1","0","2,000","3.2","2.4","Other"
"Corey Dickerson","6.42","OF","STL","4.7","0","2,000","3.2","2.4","Other"
"Bobby Dalbec","6.40","1B","BOS","4.2","0","2,200","2.9","2.0","Main"
"Garrett Hampson","6.40","SS/OF","COL","4.6","0","2,000","3.2","2.4","Early"
"Gio Urshela","6.39","3B","MIN","4.3","0","3,900","1.6","-1.4","Early"
"J.P. Crawford","6.39","SS","SEA","3.8","0","3,600","1.8","-0.8","Main"
"Miguel Cabrera","6.38","1B","DET","4.1","0","2,700","2.4","1.0","Other"
